store_nbr,total_sales,city,store_type
1,14145012.8696541,Quito,D
2,21557388.6445642,Quito,D
3,50481910.185082,Quito,D
4,18909700.380001,Quito,D
5,15592404.5723532,Santo Domingo,D
6,25183679.997054,Quito,D
7,26952049.582971,Quito,D
8,30494286.928015,Quito,D
9,26409441.0647935,Quito,B
10,9613905.735863,Quito,C
11,28325558.481396,Cayambe,B
12,10659217.957236,Latacunga,C
13,10523045.81794,Latacunga,C
14,11387918.748218,Riobamba,C
15,11451270.022648,Ibarra,C
16,10986412.5547492,Santo Domingo,C
17,18030969.250161,Quito,C
18,13259375.6899043,Quito,B
19,13049509.836733,Guaranda,C
20,12920954.5928321,Quito,B
21,9255505.91021,Santo Domingo,B
22,4090201.7408,Puyo,C
23,11651380.6749087,Ambato,D
24,23767732.701713,Guayaquil,D
25,11420997.8725745,Salinas,D
26,7755121.8918648,Guayaquil,D
27,19188021.3815342,Daule,D
28,18383154.8339259,Guayaquil,E
29,9725157.696084,Guayaquil,E
30,7382073.663963,Guayaquil,C
31,17746872.701507,Babahoyo,B
32,5951795.9975515,Guayaquil,C
33,14178501.293449,Quevedo,C
34,17090734.15915,Guayaquil,B
35,7676679.4216696,Playas,C
36,15322431.096578,Libertad,E
37,19970635.6144784,Cuenca,D
38,18859999.2605296,Loja,D
39,20252192.53354,Cuenca,B
40,18395757.405968,Machala,C
41,14991039.1385844,Machala,D
42,8945767.8851627,Cuenca,D
43,16391692.2119096,Esmeraldas,E
44,62087553.250089,Quito,A
45,54498010.416674,Quito,A
46,41896062.1216342,Quito,A
47,50948310.061006,Quito,A
48,35933130.2739365,Quito,A
49,43420095.783768,Quito,A
50,28653020.6246953,Ambato,A
51,32911489.537604,Guayaquil,A
52,2696169.733249,Manta,A
53,11216167.2826831,Manta,D
54,11057483.1179049,El Carmen,C
